uncomp,,,,,,comp,,,,,,sczcopy,,,,,
Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte,Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte,Packet size,cum_mcycles,cum_minstret,mcycles,minstret,cycle/byte
12288,76745472,76745472,790884,790884,64.36230469,12288,116576256,116576256,1200032,1200032,97.65885417,12288,80465664,80465664,810260,810260,65.9391276
12352,77540452,77540452,794980,794980,64.36042746,12352,117782496,117782496,1206240,1206240,97.65544041,12352,81280020,81280020,814356,814356,65.92908031
12416,78339528,78339528,799076,799076,64.35856959,12416,118994944,118994944,1212448,1212448,97.65206186,12416,82098472,82098472,818452,818452,65.9191366
12480,79142700,79142700,803172,803172,64.35673077,12480,120213600,120213600,1218656,1218656,97.64871795,12480,82921020,82921020,822548,822548,65.90929487
12544,79949968,79949968,807268,807268,64.35491071,12544,121438464,121438464,1224864,1224864,97.64540816,12544,83747664,83747664,826644,826644,65.89955357
12608,80761332,80761332,811364,811364,64.35310914,12608,122669536,122669536,1231072,1231072,97.64213198,12608,84578404,84578404,830740,830740,65.88991117
12672,81576792,81576792,815460,815460,64.35132576,12672,123906816,123906816,1237280,1237280,97.63888889,12672,85413240,85413240,834836,834836,65.88036616
12736,82396348,82396348,819556,819556,64.3495603,12736,125150304,125150304,1243488,1243488,97.63567839,12736,86252172,86252172,838932,838932,65.87091709
12800,83220000,83220000,823652,823652,64.3478125,12800,126400000,126400000,1249696,1249696,97.6325,12800,87095200,87095200,843028,843028,65.8615625
12864,84047748,84047748,827748,827748,64.34608209,12864,127655904,127655904,1255904,1255904,97.62935323,12864,87942324,87942324,847124,847124,65.852301
12928,84879592,84879592,831844,831844,64.34436881,12928,128918016,128918016,1262112,1262112,97.62623762,12928,88793544,88793544,851220,851220,65.84313119
12992,85715532,85715532,835940,835940,64.34267241,12992,130186336,130186336,1268320,1268320,97.62315271,12992,89648860,89648860,855316,855316,65.83405172
13056,86555568,86555568,840036,840036,64.34099265,13056,131460864,131460864,1274528,1274528,97.62009804,13056,90508272,90508272,859412,859412,65.82506127
13120,87399700,87399700,844132,844132,64.33932927,13120,132741600,132741600,1280736,1280736,97.61707317,13120,91371780,91371780,863508,863508,65.81615854
13184,88247928,88247928,848228,848228,64.33768204,13184,134028544,134028544,1286944,1286944,97.61407767,13184,92239384,92239384,867604,867604,65.80734223
13248,89100252,89100252,852324,852324,64.33605072,13248,135321696,135321696,1293152,1293152,97.61111111,13248,93111084,93111084,871700,871700,65.79861111
13312,89956672,89956672,856420,856420,64.3344351,13312,136621056,136621056,1299360,1299360,97.60817308,13312,93986880,93986880,875796,875796,65.78996394
13376,90817188,90817188,860516,860516,64.33283493,13376,137926624,137926624,1305568,1305568,97.60526316,13376,94866772,94866772,879892,879892,65.78139952
13440,91681800,91681800,864612,864612,64.33125,13440,139238400,139238400,1311776,1311776,97.60238095,13440,95750760,95750760,883988,883988,65.77291667
13504,92550508,92550508,868708,868708,64.32968009,13504,140556384,140556384,1317984,1317984,97.59952607,13504,96638844,96638844,888084,888084,65.76451422
13568,93423312,93423312,872804,872804,64.328125,13568,141880576,141880576,1324192,1324192,97.59669811,13568,97531024,97531024,892180,892180,65.75619104
13632,94300212,94300212,876900,876900,64.32658451,13632,143210976,143210976,1330400,1330400,97.59389671,13632,98427300,98427300,896276,896276,65.74794601
13696,95181208,95181208,880996,880996,64.32505841,13696,144547584,144547584,1336608,1336608,97.5911215,13696,99327672,99327672,900372,900372,65.73977804
13760,96066300,96066300,885092,885092,64.32354651,13760,145890400,145890400,1342816,1342816,97.58837209,13760,100232140,100232140,904468,904468,65.73168605
13824,96955488,96955488,889188,889188,64.32204861,13824,147239424,147239424,1349024,1349024,97.58564815,13824,101140704,101140704,908564,908564,65.72366898
13888,97848772,97848772,893284,893284,64.32056452,13888,148594656,148594656,1355232,1355232,97.58294931,13888,102053364,102053364,912660,912660,65.71572581
13952,98746152,98746152,897380,897380,64.31909404,13952,149956096,149956096,1361440,1361440,97.58027523,13952,102970120,102970120,916756,916756,65.7078555
14016,99647628,99647628,901476,901476,64.31763699,14016,151323744,151323744,1367648,1367648,97.57762557,14016,103890972,103890972,920852,920852,65.70005708
14080,100553200,100553200,905572,905572,64.31619318,14080,152697600,152697600,1373856,1373856,97.575,14080,104815920,104815920,924948,924948,65.69232955
14144,101462868,101462868,909668,909668,64.31476244,14144,154077664,154077664,1380064,1380064,97.57239819,14144,105744964,105744964,929044,929044,65.68467195
14208,102376632,102376632,913764,913764,64.31334459,14208,155463936,155463936,1386272,1386272,97.56981982,14208,106678104,106678104,933140,933140,65.67708333
14272,103294492,103294492,917860,917860,64.31193946,14272,156856416,156856416,1392480,1392480,97.56726457,14272,107615340,107615340,937236,937236,65.66956278
14336,104216448,104216448,921956,921956,64.31054688,14336,158255104,158255104,1398688,1398688,97.56473214,14336,108556672,108556672,941332,941332,65.66210938
14400,105142500,105142500,926052,926052,64.30916667,14400,159660000,159660000,1404896,1404896,97.56222222,14400,109502100,109502100,945428,945428,65.65472222
14464,106072648,106072648,930148,930148,64.30779867,14464,161071104,161071104,1411104,1411104,97.55973451,14464,110451624,110451624,949524,949524,65.64740044
14528,107006892,107006892,934244,934244,64.30644273,14528,162488416,162488416,1417312,1417312,97.55726872,14528,111405244,111405244,953620,953620,65.64014317
14592,107945232,107945232,938340,938340,64.30509868,14592,163911936,163911936,1423520,1423520,97.55482456,14592,112362960,112362960,957716,957716,65.63294956
14656,108887668,108887668,942436,942436,64.30376638,14656,165341664,165341664,1429728,1429728,97.55240175,14656,113324772,113324772,961812,961812,65.62581878
14720,109834200,109834200,946532,946532,64.30244565,14720,166777600,166777600,1435936,1435936,97.55,14720,114290680,114290680,965908,965908,65.61875
14784,110784828,110784828,950628,950628,64.30113636,14784,168219744,168219744,1442144,1442144,97.54761905,14784,115260684,115260684,970004,970004,65.61174242
14848,111739552,111739552,954724,954724,64.29983836,14848,169668096,169668096,1448352,1448352,97.54525862,14848,116234784,116234784,974100,974100,65.60479526
14912,112698372,112698372,958820,958820,64.2985515,14912,171122656,171122656,1454560,1454560,97.54291845,14912,117212980,117212980,978196,978196,65.59790773
14976,113661288,113661288,962916,962916,64.29727564,14976,172583424,172583424,1460768,1460768,97.54059829,14976,118195272,118195272,982292,982292,65.59107906
15040,114628300,114628300,967012,967012,64.29601064,15040,174051774,174050400,1468350,1466976,97.62965426,15040,119181660,119181660,986388,986388,65.58430851
15104,115599408,115599408,971108,971108,64.29475636,15104,175524958,175523584,1473184,1473184,97.53601695,15104,120172144,120172144,990484,990484,65.57759534
15168,116574612,116574612,975204,975204,64.29351266,15168,177004350,177002976,1479392,1479392,97.53375527,15168,121166724,121166724,994580,994580,65.57093882
15232,117553912,117553912,979300,979300,64.29227941,15232,178489950,178488576,1485600,1485600,97.53151261,15232,122165400,122165400,998676,998676,65.56433824
15296,118537308,118537308,983396,983396,64.29105649,15296,179981758,179980384,1491808,1491808,97.5292887,15296,123168172,123168172,1002772,1002772,65.55779289
15360,119524800,119524800,987492,987492,64.28984375,15360,181479774,181478400,1498016,1498016,97.52708333,15360,124175040,124175040,1006868,1006868,65.55130208
15424,120516388,120516388,991588,991588,64.28864108,15424,182983998,182982624,1504224,1504224,97.52489627,15424,125186004,125186004,1010964,1010964,65.54486515
15488,121512072,121512072,995684,995684,64.28744835,15488,184494430,184493056,1510432,1510432,97.52272727,15488,126201064,126201064,1015060,1015060,65.5384814
15552,122511852,122511852,999780,999780,64.28626543,15552,186011070,186009696,1516640,1516640,97.52057613,15552,127220220,127220220,1019156,1019156,65.53215021
15616,123515728,123515728,1003876,1003876,64.28509221,15616,187533918,187532544,1522848,1522848,97.51844262,15616,128243472,128243472,1023252,1023252,65.5258709
15680,124523700,124523700,1007972,1007972,64.28392857,15680,189062974,189061600,1529056,1529056,97.51632653,15680,129270820,129270820,1027348,1027348,65.51964286
15744,125535768,125535768,1012068,1012068,64.28277439,15744,190598238,190596864,1535264,1535264,97.51422764,15744,130302264,130302264,1031444,1031444,65.51346545
15808,126551932,126551932,1016164,1016164,64.28162955,15808,192139710,192138336,1541472,1541472,97.51214575,15808,131337804,131337804,1035540,1035540,65.50733806
15872,127572192,127572192,1020260,1020260,64.28049395,15872,193687390,193686016,1547680,1547680,97.51008065,15872,132377440,132377440,1039636,1039636,65.50126008
15936,128596548,128596548,1024356,1024356,64.27936747,15936,195241278,195239904,1553888,1553888,97.50803213,15936,133421172,133421172,1043732,1043732,65.49523092
16000,129625000,129625000,1028452,1028452,64.27825,16000,196801374,196800000,1560096,1560096,97.506,16000,134469000,134469000,1047828,1047828,65.48925
16064,130657548,130657548,1032548,1032548,64.27714143,16064,198367678,198366304,1566304,1566304,97.50398406,16064,135520924,135520924,1051924,1051924,65.48331673
16128,131694192,131694192,1036644,1036644,64.27604167,16128,199940190,199938816,1572512,1572512,97.50198413,16128,136576944,136576944,1056020,1056020,65.47743056
16192,132734932,132734932,1040740,1040740,64.27495059,16192,201518910,201517536,1578720,1578720,97.5,16192,137637060,137637060,1060116,1060116,65.47159091
16256,133779768,133779768,1044836,1044836,64.27386811,16256,203103838,203102464,1584928,1584928,97.4980315,16256,138701272,138701272,1064212,1064212,65.46579724
16320,134828700,134828700,1048932,1048932,64.27279412,16320,204694974,204693600,1591136,1591136,97.49607843,16320,139769580,139769580,1068308,1068308,65.46004902
16384,135881728,135881728,1053028,1053028,64.27172852,16384,206292318,206290944,1597344,1597344,97.49414063,16384,140841984,140841984,1072404,1072404,65.4543457
16448,136938852,136938852,1057124,1057124,64.27067121,16448,207895870,207894496,1603552,1603552,97.4922179,16448,141918484,141918484,1076500,1076500,65.44868677
16512,138000072,138000072,1061220,1061220,64.26962209,16512,209505630,209504256,1609760,1609760,97.49031008,16512,142999080,142999080,1080596,1080596,65.44307171
16576,139065388,139065388,1065316,1065316,64.26858108,16576,211121598,211120224,1615968,1615968,97.48841699,16576,144083772,144083772,1084692,1084692,65.4375
16640,140134800,140134800,1069412,1069412,64.26754808,16640,212743774,212742400,1622176,1622176,97.48653846,16640,145172560,145172560,1088788,1088788,65.43197115
16704,141208308,141208308,1073508,1073508,64.26652299,16704,214372158,214370784,1628384,1628384,97.48467433,16704,146265444,146265444,1092884,1092884,65.42648467
16768,142285912,142285912,1077604,1077604,64.26550573,16768,216006750,216005376,1634592,1634592,97.48282443,16768,147362424,147362424,1096980,1096980,65.42104008
16832,143367612,143367612,1081700,1081700,64.2644962,16832,217647550,217646176,1640800,1640800,97.48098859,16832,148463500,148463500,1101076,1101076,65.41563688
16896,144453408,144453408,1085796,1085796,64.26349432,16896,219294558,219293184,1647008,1647008,97.47916667,16896,149568672,149568672,1105172,1105172,65.41027462
16960,145543300,145543300,1089892,1089892,64.2625,16960,220947774,220946400,1653216,1653216,97.47735849,16960,150677940,150677940,1109268,1109268,65.40495283
17024,146637288,146637288,1093988,1093988,64.26151316,17024,222607198,222605824,1659424,1659424,97.47556391,17024,151791304,151791304,1113364,1113364,65.39967105
17088,147735372,147735372,1098084,1098084,64.26053371,17088,224272830,224271456,1665632,1665632,97.47378277,17088,152908764,152908764,1117460,1117460,65.39442884
17152,148837552,148837552,1102180,1102180,64.25956157,17152,225944670,225943296,1671840,1671840,97.47201493,17152,154030320,154030320,1121556,1121556,65.38922575
17216,149943828,149943828,1106276,1106276,64.25859665,17216,227622718,227621344,1678048,1678048,97.47026022,17216,155155972,155155972,1125652,1125652,65.38406134
17280,151054200,151054200,1110372,1110372,64.25763889,17280,229306974,229305600,1684256,1684256,97.46851852,17280,156285720,156285720,1129748,1129748,65.37893519
17344,152168668,152168668,1114468,1114468,64.25668819,17344,230997438,230996064,1690464,1690464,97.46678967,17344,157419564,157419564,1133844,1133844,65.37384686
17408,153287232,153287232,1118564,1118564,64.25574449,17408,232694110,232692736,1696672,1696672,97.46507353,17408,158557504,158557504,1137940,1137940,65.36879596
17472,154409892,154409892,1122660,1122660,64.25480769,17472,234396990,234395616,1702880,1702880,97.46336996,17472,159699540,159699540,1142036,1142036,65.36378205
17536,155536648,155536648,1126756,1126756,64.25387774,17536,236106078,236104704,1709088,1709088,97.46167883,17536,160845672,160845672,1146132,1146132,65.35880474
17600,156667500,156667500,1130852,1130852,64.25295455,17600,237821374,237820000,1715296,1715296,97.46,17600,161995900,161995900,1150228,1150228,65.35386364
17664,157802448,157802448,1134948,1134948,64.25203804,17664,239542878,239541504,1721504,1721504,97.45833333,17664,163150224,163150224,1154324,1154324,65.34895833
17728,158941492,158941492,1139044,1139044,64.25112816,17728,241270590,241269216,1727712,1727712,97.4566787,17728,164308644,164308644,1158420,1158420,65.34408845
17792,160084632,160084632,1143140,1143140,64.25022482,17792,243004510,243003136,1733920,1733920,97.45503597,17792,165471160,165471160,1162516,1162516,65.3392536
17856,161231868,161231868,1147236,1147236,64.24932796,17856,244744638,244743264,1740128,1740128,97.45340502,17856,166637772,166637772,1166612,1166612,65.33445341
17920,162383200,162383200,1151332,1151332,64.2484375,17920,246490974,246489600,1746336,1746336,97.45178571,17920,167808480,167808480,1170708,1170708,65.3296875
17984,163538628,163538628,1155428,1155428,64.24755338,17984,248243518,248242144,1752544,1752544,97.45017794,17984,168983284,168983284,1174804,1174804,65.32495552
18048,164698152,164698152,1159524,1159524,64.24667553,18048,250002270,250000896,1758752,1758752,97.44858156,18048,170162184,170162184,1178900,1178900,65.32025709
18112,165861772,165861772,1163620,1163620,64.24580389,18112,251767230,251765856,1764960,1764960,97.44699647,18112,171345180,171345180,1182996,1182996,65.31559187
18176,167029488,167029488,1167716,1167716,64.24493838,18176,253538398,253537024,1771168,1771168,97.44542254,18176,172532272,172532272,1187092,1187092,65.31095951
18240,168201300,168201300,1171812,1171812,64.24407895,18240,255315774,255314400,1777376,1777376,97.44385965,18240,173723460,173723460,1191188,1191188,65.30635965
18304,169377208,169377208,1175908,1175908,64.24322552,18304,257099358,257097984,1783584,1783584,97.44230769,18304,174918744,174918744,1195284,1195284,65.30179196
18368,170557212,170557212,1180004,1180004,64.24237805,18368,258889150,258887776,1789792,1789792,97.44076655,18368,176118124,176118124,1199380,1199380,65.2972561
18432,171741312,171741312,1184100,1184100,64.24153646,18432,260685150,260683776,1796000,1796000,97.43923611,18432,177321600,177321600,1203476,1203476,65.29275174
18496,172929508,172929508,1188196,1188196,64.24070069,18496,262487358,262485984,1802208,1802208,97.43771626,18496,178529172,178529172,1207572,1207572,65.28827855
18560,174121800,174121800,1192292,1192292,64.23987069,18560,264295774,264294400,1808416,1808416,97.4362069,18560,179740840,179740840,1211668,1211668,65.28383621
18624,175318188,175318188,1196388,1196388,64.23904639,18624,266110398,266109024,1814624,1814624,97.4347079,18624,180956604,180956604,1215764,1215764,65.2794244
18688,176518672,176518672,1200484,1200484,64.23822774,18688,267931230,267929856,1820832,1820832,97.43321918,18688,182176464,182176464,1219860,1219860,65.27504281
18752,177723252,177723252,1204580,1204580,64.23741468,18752,269758270,269756896,1827040,1827040,97.43174061,18752,183400420,183400420,1223956,1223956,65.27069113
18816,178931928,178931928,1208676,1208676,64.23660714,18816,271591518,271590144,1833248,1833248,97.43027211,18816,184628472,184628472,1228052,1228052,65.26636905
18880,180144700,180144700,1212772,1212772,64.23580508,18880,273430974,273429600,1839456,1839456,97.42881356,18880,185860620,185860620,1232148,1232148,65.26207627
18944,181361568,181361568,1216868,1216868,64.23500845,18944,275276638,275275264,1845664,1845664,97.42736486,18944,187096864,187096864,1236244,1236244,65.2578125
19008,182582532,182582532,1220964,1220964,64.23421717,19008,277128510,277127136,1851872,1851872,97.42592593,19008,188337204,188337204,1240340,1240340,65.25357744
19072,183807592,183807592,1225060,1225060,64.23343121,19072,278986590,278985216,1858080,1858080,97.42449664,19072,189581640,189581640,1244436,1244436,65.24937081
19136,185038114,185036748,1230522,1229156,64.30403428,19136,280850878,280849504,1864288,1864288,97.42307692,19136,190830172,190830172,1248532,1248532,65.24519231
19200,186271366,186270000,1233252,1233252,64.231875,19200,282721374,282720000,1870496,1870496,97.42166667,19200,192082800,192082800,1252628,1252628,65.24104167
19264,187508714,187507348,1237348,1237348,64.23110465,19264,284598078,284596704,1876704,1876704,97.42026578,19264,193339524,193339524,1256724,1256724,65.2369186
19328,188750158,188748792,1241444,1241444,64.2303394,19328,286480990,286479616,1882912,1882912,97.41887417,19328,194600344,194600344,1260820,1260820,65.23282285
19392,189995698,189994332,1245540,1245540,64.22957921,19392,288370110,288368736,1889120,1889120,97.41749175,19392,195865260,195865260,1264916,1264916,65.22875413
19456,191245334,191243968,1249636,1249636,64.22882401,19456,290265438,290264064,1895328,1895328,97.41611842,19456,197134272,197134272,1269012,1269012,65.22471217
19520,192499066,192497700,1253732,1253732,64.22807377,19520,292166974,292165600,1901536,1901536,97.4147541,19520,198407380,198407380,1273108,1273108,65.22069672
19584,193756894,193755528,1257828,1257828,64.22732843,19584,294074718,294073344,1907744,1907744,97.41339869,19584,199684584,199684584,1277204,1277204,65.21670752
19648,195018818,195017452,1261924,1261924,64.22658795,19648,295988670,295987296,1913952,1913952,97.41205212,19648,200965884,200965884,1281300,1281300,65.2127443
19712,196284838,196283472,1266020,1266020,64.22585227,19712,297908830,297907456,1920160,1920160,97.41071429,19712,202251280,202251280,1285396,1285396,65.20880682
19776,197554954,197553588,1270116,1270116,64.22512136,19776,299835198,299833824,1926368,1926368,97.40938511,19776,203540772,203540772,1289492,1289492,65.20489482
19840,198829166,198827800,1274212,1274212,64.22439516,19840,301767774,301766400,1932576,1932576,97.40806452,19840,204834360,204834360,1293588,1293588,65.20100806
19904,200107474,200106108,1278308,1278308,64.22367363,19904,303706558,303705184,1938784,1938784,97.40675241,19904,206132044,206132044,1297684,1297684,65.1971463
19968,201389878,201388512,1282404,1282404,64.22295673,19968,305651550,305650176,1944992,1944992,97.40544872,19968,207433824,207433824,1301780,1301780,65.19330929
20032,202676378,202675012,1286500,1286500,64.22224441,20032,307602750,307601376,1951200,1951200,97.40415335,20032,208739700,208739700,1305876,1305876,65.18949681
20096,203966974,203965608,1290596,1290596,64.22153662,20096,309560158,309558784,1957408,1957408,97.40286624,20096,210049672,210049672,1309972,1309972,65.1857086
20160,205261666,205260300,1294692,1294692,64.22083333,20160,311523774,311522400,1963616,1963616,97.4015873,20160,211363740,211363740,1314068,1314068,65.18194444
20224,206560454,206559088,1298788,1298788,64.22013449,20224,313493598,313492224,1969824,1969824,97.40031646,20224,212681904,212681904,1318164,1318164,65.17820411
20288,207863338,207861972,1302884,1302884,64.21944006,20288,315469630,315468256,1976032,1976032,97.39905363,20288,214005538,214004164,1323634,1322260,65.24221215
20352,209170318,209168952,1306980,1306980,64.21875,20352,317451870,317450496,1982240,1982240,97.39779874,20352,215331894,215330520,1326356,1326356,65.17079403
20416,210481394,210480028,1311076,1311076,64.21806426,20416,319440318,319438944,1988448,1988448,97.39655172,20416,216662346,216660972,1330452,1330452,65.16712382
20480,211796566,211795200,1315172,1315172,64.21738281,20480,321434974,321433600,1994656,1994656,97.3953125,20480,217996894,217995520,1334548,1334548,65.16347656
20544,213115834,213114468,1319268,1319268,64.21670561,20544,323435838,323434464,2000864,2000864,97.394081,20544,219335538,219334164,1338644,1338644,65.15985202
20608,214439198,214437832,1323364,1323364,64.21603261,20608,325442910,325441536,2007072,2007072,97.39285714,20608,220678278,220676904,1342740,1342740,65.15625
20672,215766658,215765292,1327460,1327460,64.21536378,20672,327456190,327454816,2013280,2013280,97.39164087,20672,222025114,222023740,1346836,1346836,65.15267028
20736,217098214,217096848,1331556,1331556,64.21469907,20736,329475678,329474304,2019488,2019488,97.3904321,20736,223376046,223374672,1350932,1350932,65.14911265
20800,218433866,218432500,1335652,1335652,64.21403846,20800,331501374,331500000,2025696,2025696,97.38923077,20800,224731074,224729700,1355028,1355028,65.14557692
20864,219773614,219772248,1339748,1339748,64.2133819,20864,333533278,333531904,2031904,2031904,97.38803681,20864,226090198,226088824,1359124,1359124,65.14206288
20928,221117458,221116092,1343844,1343844,64.21272936,20928,335571390,335570016,2038112,2038112,97.38685015,20928,227453418,227452044,1363220,1363220,65.13857034
20992,222465398,222464032,1347940,1347940,64.21208079,20992,337615710,337614336,2044320,2044320,97.38567073,20992,228820734,228819360,1367316,1367316,65.13509909
21056,223817434,223816068,1352036,1352036,64.21143617,21056,339666238,339666238,2050528,2051902,97.38449848,21056,230192146,230190772,1371412,1371412,65.13164894
21120,225173566,225172200,1356132,1356132,64.21079545,21120,341722974,341722974,2056736,2056736,97.38333333,21120,231567654,231566280,1375508,1375508,65.1282197
21184,226533794,226532428,1360228,1360228,64.21015861,21184,343785918,343785918,2062944,2062944,97.38217523,21184,232947258,232945884,1379604,1379604,65.12481118
21248,227898118,227896752,1364324,1364324,64.2095256,21248,345855070,345855070,2069152,2069152,97.3810241,21248,234330958,234329584,1383700,1383700,65.12142319
21312,229266538,229265172,1368420,1368420,64.2088964,21312,347930430,347930430,2075360,2075360,97.37987988,21312,235718754,235717380,1387796,1387796,65.11805556
21376,230639054,230637688,1372516,1372516,64.20827096,21376,350011998,350011998,2081568,2081568,97.37874251,21376,237110646,237109272,1391892,1391892,65.11470808
21440,232015666,232014300,1376612,1376612,64.20764925,21440,352099774,352099774,2087776,2087776,97.37761194,21440,238506634,238505260,1395988,1395988,65.1113806
21504,233396374,233395008,1380708,1380708,64.20703125,21504,354193758,354193758,2093984,2093984,97.3764881,21504,239906718,239905344,1400084,1400084,65.10807292
21568,234781178,234779812,1384804,1384804,64.20641691,21568,356293950,356293950,2100192,2100192,97.37537092,21568,241310898,241309524,1404180,1404180,65.10478487
21632,236170078,236168712,1388900,1388900,64.20580621,21632,358400350,358400350,2106400,2106400,97.37426036,21632,242719174,242717800,1408276,1408276,65.10151627
21696,237563074,237561708,1392996,1392996,64.20519912,21696,360512958,360512958,2112608,2112608,97.37315634,21696,244131546,244130172,1412372,1412372,65.09826696
21760,238960166,238958800,1397092,1397092,64.20459559,21760,362631774,362631774,2118816,2118816,97.37205882,21760,245548014,245546640,1416468,1416468,65.09503676
21824,240361354,240359988,1401188,1401188,64.2039956,21824,364756798,364756798,2125024,2125024,97.37096774,21824,246968578,246967204,1420564,1420564,65.09182551
21888,241766638,241765272,1405284,1405284,64.20339912,21888,366888030,366888030,2131232,2131232,97.36988304,21888,248393238,248391864,1424660,1424660,65.08863304
21952,243176018,243174652,1409380,1409380,64.20280612,21952,369025470,369025470,2137440,2137440,97.36880466,21952,249821994,249820620,1428756,1428756,65.08545918
22016,244589494,244588128,1413476,1413476,64.20221657,22016,371169118,371169118,2143648,2143648,97.36773256,22016,251254846,251253472,1432852,1432852,65.08230378
22080,246007066,246005700,1417572,1417572,64.20163043,22080,373318974,373318974,2149856,2149856,97.36666667,22080,252691794,252690420,1436948,1436948,65.07916667
22144,247428734,247427368,1421668,1421668,64.20104769,22144,375475038,375475038,2156064,2156064,97.36560694,22144,254132838,254131464,1441044,1441044,65.07604769
22208,248854498,248853132,1425764,1425764,64.2004683,22208,377637310,377637310,2162272,2162272,97.36455331,22208,255577978,255576604,1445140,1445140,65.07294669
22272,250284358,250282992,1429860,1429860,64.19989224,22272,379805790,379805790,2168480,2168480,97.36350575,22272,257027214,257025840,1449236,1449236,65.06986351
22336,251718314,251716948,1433956,1433956,64.19931948,22336,381980478,381980478,2174688,2174688,97.36246418,22336,258480546,258479172,1453332,1453332,65.06679799
22400,253156366,253155000,1438052,1438052,64.19875,22400,384161374,384161374,2180896,2180896,97.36142857,22400,259937974,259936600,1457428,1457428,65.06375
22464,254598514,254597148,1442148,1442148,64.19818376,22464,386348478,386348478,2187104,2187104,97.36039886,22464,261399498,261398124,1461524,1461524,65.06071937
22528,256044758,256043392,1446244,1446244,64.19762074,22528,388541790,388541790,2193312,2193312,97.359375,22528,262865118,262863744,1465620,1465620,65.05770597
22592,257495098,257493732,1450340,1450340,64.19706091,22592,390741310,390741310,2199520,2199520,97.35835694,22592,264334834,264333460,1469716,1469716,65.05470963
22656,258949534,258948168,1454436,1454436,64.19650424,22656,392947038,392947038,2205728,2205728,97.35734463,22656,265808646,265807272,1473812,1473812,65.05173023
22720,260408066,260406700,1458532,1458532,64.1959507,22720,395158974,395158974,2211936,2211936,97.35633803,22720,267286554,267285180,1477908,1477908,65.04876761
22784,261870694,261869328,1462628,1462628,64.19540028,22784,397377118,397377118,2218144,2218144,97.35533708,22784,268768558,268767184,1482004,1482004,65.04582163
22848,263337418,263336052,1466724,1466724,64.19485294,22848,399601470,399601470,2224352,2224352,97.35434174,22848,270254658,270253284,1486100,1486100,65.04289216
22912,264808238,264806872,1470820,1470820,64.19430866,22912,401832030,401832030,2230560,2230560,97.35335196,22912,271744854,271743480,1490196,1490196,65.03997905
22976,266283154,266281788,1474916,1474916,64.19376741,22976,404068798,404068798,2236768,2236768,97.35236769,22976,273239146,273237772,1494292,1494292,65.03708217
23040,267762166,267760800,1479012,1479012,64.19322917,23040,406311774,406311774,2242976,2242976,97.35138889,23040,274737534,274736160,1498388,1498388,65.03420139
23104,269245274,269243908,1483108,1483108,64.19269391,23104,408560958,408560958,2249184,2249184,97.35041551,23104,276240018,276238644,1502484,1502484,65.03133657
23168,270732478,270731112,1487204,1487204,64.1921616,23168,410816350,410816350,2255392,2255392,97.34944751,23168,277746598,277745224,1506580,1506580,65.02848757
23232,272223778,272222412,1491300,1491300,64.19163223,23232,413077950,413077950,2261600,2261600,97.34848485,23232,279257274,279255900,1510676,1510676,65.02565427
23296,273719174,273717808,1495396,1495396,64.19110577,23296,415345758,415345758,2267808,2267808,97.34752747,23296,280772046,280770672,1514772,1514772,65.02283654
23360,275218666,275217300,1499492,1499492,64.19058219,23360,417619774,417619774,2274016,2274016,97.34657534,23360,282290914,282289540,1518868,1518868,65.02003425
23424,276722254,276720888,1503588,1503588,64.19006148,23424,419899998,419899998,2280224,2280224,97.34562842,23424,283813878,283812504,1522964,1522964,65.01724727
23488,278229938,278228572,1507684,1507684,64.1895436,23488,422186430,422186430,2286432,2286432,97.34468665,23488,285340938,285339564,1527060,1527060,65.01447548
23552,279741718,279740352,1511780,1511780,64.18902853,23552,424479070,424479070,2292640,2292640,97.34375,23552,286872094,286870720,1531156,1531156,65.01171875
23616,281257594,281256228,1515876,1515876,64.18851626,23616,426777918,426777918,2298848,2298848,97.34281843,23616,288407346,288405972,1535252,1535252,65.00897696
23680,282777566,282776200,1519972,1519972,64.18800676,23680,429082974,429082974,2305056,2305056,97.34189189,23680,289946694,289945320,1539348,1539348,65.00625
23744,284301634,284300268,1524068,1524068,64.1875,23744,431394238,431394238,2311264,2311264,97.34097035,23744,291490138,291488764,1543444,1543444,65.00353774
23808,285829798,285828432,1528164,1528164,64.18699597,23808,433711710,433711710,2317472,2317472,97.34005376,23808,293037678,293036304,1547540,1547540,65.00084005
23872,287362058,287360692,1532260,1532260,64.18649464,23872,436035390,436035390,2323680,2323680,97.33914209,23872,294589314,294587940,1551636,1551636,64.99815684
23936,288898414,288897048,1536356,1536356,64.18599599,23936,438365278,438365278,2329888,2329888,97.33823529,23936,296145046,296143672,1555732,1555732,64.99548797
24000,290438866,290437500,1540452,1540452,64.1855,24000,440701374,440701374,2336096,2336096,97.33733333,24000,297704874,297703500,1559828,1559828,64.99283333
24064,291983414,291982048,1544548,1544548,64.18500665,24064,443043678,443043678,2342304,2342304,97.33643617,24064,299268798,299267424,1563924,1563924,64.99019282
24128,293532058,293530692,1548644,1548644,64.18451592,24128,445392190,445392190,2348512,2348512,97.33554377,24128,300836818,300835444,1568020,1568020,64.98756631
24192,295084798,295083432,1552740,1552740,64.18402778,24192,447746910,447746910,2354720,2354720,97.33465608,24192,302408934,302407560,1572116,1572116,64.9849537
